SECID,ISIN,SHORTNAME,RATING,RATING_SCORE,YEARS_TO_MATURITY,MATDATE,FACEVALUE,LASTPRICE,CLEAN_PRICE_RUB,DIRTY_PRICE_RUB,ACCRUEDINT,COUPONPERCENT,YTM_PCT,CURRENT_YIELD_PCT
RU000A0ZZ984,RU000A0ZZ984,ГТЛК 1P-10,AA-,3.0,7.06,2033-05-20,1000,69.68,696.8,697.12,0.32,0.1,16.81,0.14
RU000A0ZZ9P8,RU000A0ZZ9P8,СамарОбл14,AA,2.0,0.1,2026-06-04,150,99.57,149.35,152.93,3.58,7.45,12.29,7.48
RU000A0ZZ9R4,RU000A0ZZ9R4,РЖД 1Р-07R,AAA,0.0,7.08,2033-05-26,1000,105.78,1057.8,1115.5,57.7,18.0,15.23,17.02
RU000A0ZZBV2,RU000A0ZZBV2,ЕвропланБ8,AA,2.0,2.15,2028-06-20,1000,100.85,1008.5,1066.2,57.7,18.0,12.56,17.85
RU000A0ZZCH9,RU000A0ZZCH9,ИА ДОМ 5P2,AAA,0.0,17.0,2043-04-28,126.13,91.92,115.94,119.17,3.23,8.0,0.0,8.7
RU000A0ZZCX6,RU000A0ZZCX6,РОССИУМ1P1,BBB+,7.0,1.68,2027-12-30,1000,,,,55.68,17.37,0.0,
RU000A0ZZDB0,RU000A0ZZDB0,ЕАБР 1Р-01,AAA,0.0,2.21,2028-07-11,1000,87.88,878.8,905.08,26.28,8.2,15.37,9.33
RU000A0ZZGT5,RU000A0ZZGT5,РЖД 1Р-08R,AAA,0.0,2.27,2028-08-03,1000,99.52,995.2,1044.31,49.11,15.32,16.15,15.39
RU000A0ZZNL8,RU000A0ZZNL8,Сферфин1P2,Нет данных,,7.02,2033-05-05,1000,102.98,1029.8,1077.88,48.08,15.0,-29.12,14.57
RU000A0ZZNW5,RU000A0ZZNW5,ИА ДОМ 4P2,AAA,0.0,21.42,2047-09-28,87.69,95.97,84.16,86.49,2.33,8.3,0.0,8.65
RU000A0ZZQH9,RU000A0ZZQH9,СвердлОбл5,AA,2.0,0.49,2026-10-23,50,97.71,48.86,50.25,1.39,8.68,14.27,8.88
RU000A0ZZRY2,RU000A0ZZRY2,РЖД 1Р-09R,AAA,0.0,7.47,2033-10-14,1000,99.86,998.6,1046.11,47.51,14.82,13.26,14.84
RU000A0ZZS73,RU000A0ZZS73,Сферфин1P3,Нет данных,,7.02,2033-05-05,1000,97.51,975.1,1023.18,48.08,15.0,74.89,15.38
RU000A0ZZTK7,RU000A0ZZTK7,ТКХ БО-П02,A+,4.0,2.52,2028-11-02,1000,,,,30.45,9.5,0.0,
RU000A0ZZTL5,RU000A0ZZTL5,ФПК 1P-05,AA+,1.0,2.52,2028-11-02,1000,97.68,976.8,1027.38,50.58,15.78,14.17,16.15
RU000A0ZZV11,RU000A0ZZV11,ГТЛК 1P-12,AA-,3.0,7.52,2033-11-04,1000,96.31,963.1,992.27,29.17,9.1,17.13,9.45
RU000A0ZZV86,RU000A0ZZV86,ИА ДОМ 6P2,AAA,0.0,22.09,2048-05-28,94.8,94.25,89.35,92.37,3.02,9.95,0.0,10.56
RU000A0ZZVQ0,RU000A0ZZVQ0,РСХБ БО-7Р,AA,2.0,12.57,2038-11-22,1000,,,,33.66,10.5,0.0,
RU000A0ZZYS0,RU000A0ZZYS0,СитимЮгра1,Нет данных,,10.65,2036-12-20,1000,,,,76.93,24.0,0.0,
RU000A0ZZZ09,RU000A0ZZZ09,ИА ДОМ 8P2,AAA,0.0,18.67,2044-12-28,98.62,96.9,95.56,98.49,2.93,9.28,0.0,9.58
RU000A0ZZZ17,RU000A0ZZZ17,НКНХ 1Р-01,AAA,0.0,2.61,2028-12-07,1000,103.23,1032.3,1082.63,50.33,15.7,14.66,15.21
RU000A0ZZZ58,RU000A0ZZZ58,ИА ДОМ 7P2,AAA,0.0,22.17,2048-06-28,172.29,91.63,157.87,157.87,0.0,,0.0,0.0
RU000A0ZZZY5,RU000A0ZZZY5,РОССИУМ1P2,BBB+,7.0,2.63,2028-12-13,1000,,,,59.3,18.5,0.0,
RU000A0ZZZZ2,RU000A0ZZZZ2,Самолет1P4,A-,6.0,2.63,2028-12-14,1000,98.13,981.3,1035.79,54.49,17.0,20.72,17.32
RU000A100030,RU000A100030,Автодор2Р1,AA,2.0,4.63,2030-12-12,560,99,554.4,581.58,27.18,15.14,13.9,15.29
RU000A1001T8,RU000A1001T8,ММЦБ П01-1,BBB-,9.0,2.71,2029-01-12,1000,99.89,998.9,1059.8,60.9,19.0,20.57,19.02
RU000A1003A4,RU000A1003A4,ГТЛК 1P-13,AA-,3.0,7.73,2034-01-20,1000,95.6,956.0,986.68,30.68,9.57,16.71,10.01
RU000A1004W6,RU000A1004W6,ДОМ 1P-5R,AAA,0.0,2.81,2029-02-16,1000,100.74,1007.4,1056.76,49.36,15.4,13.29,15.29
RU000A1005L6,RU000A1005L6,Система1P9,AA-,3.0,2.82,2029-02-21,1000,99.81,998.1,1054.2,56.1,17.5,18.44,17.53
RU000A1006C3,RU000A1006C3,ПионЛизБП2,B,14.0,2.74,2029-01-21,1000,83.9,839.0,908.72,69.72,21.75,34.43,25.92
RU000A1006S9,RU000A1006S9,RUS-35,Нет данных,,8.92,2035-03-28,200000,89.5,179000.0,182269.59,3269.59,5.1,6.69,5.7
RU000A100725,RU000A100725,БрайтФ БП1,Нет данных,,2.88,2029-03-15,1000,101.61,1016.1,1081.81,65.71,20.5,17.34,20.18
RU000A1007H0,RU000A1007H0,Славнеф1Р2,AA,2.0,2.88,2029-03-15,1000,102.5,1025.0,1074.68,49.68,15.5,14.72,15.12
RU000A1007U3,RU000A1007U3,АРАГОН БП1,Нет данных,,2.89,2029-03-16,1000,102.01,1020.1,1089.02,68.92,21.5,19.46,21.08
RU000A1007Z2,RU000A1007Z2,РЖД 1Р-13R,AAA,0.0,2.89,2029-03-19,1000,89.36,893.6,922.77,29.17,9.1,14.13,10.18
RU000A100881,RU000A100881,Ростел1P5R,AAA,0.0,2.9,2029-03-21,1000,100.02,1000.2,1045.08,44.88,14.0,14.45,14.0
RU000A1008D7,RU000A1008D7,РЖД 1Р-14R,AAA,0.0,3.02,2029-05-04,1000,89.94,899.4,928.57,29.17,9.1,13.69,10.12
